Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
3000000.1,260,0.404,0.596,697.1607304,29.80879543,5.809768446,0.838561715,30
3000000.1,260,0.5,0.5,730.275477,21.59010018,7.995734848,1.091938305,30
3000000.1,260,0.596,0.404,759.4274925,15.11675669,4.57013374,0.769854622,30
3000000.1,260,0.692,0.308,778.2345082,10.2423631,5.261917419,0.670979051,30
3000000.1,260,0.788,0.212,789.4443039,7.213873105,4.51165096,0.261721111,30
3000000.1,260,0.884,0.116,802.6359198,3.642873971,6.259518355,0.331336417,30
3000000.1,260,0.98,0.02,812.5569323,0.59117716,7.889741602,0.067240992,30
3000000.1,280,0.02,0.98,70.37153035,156.8062605,1.294861166,0.70924328,30
3000000.1,280,0.116,0.884,310.3229878,106.314619,3.144203416,1.142055863,30
3000000.1,280,0.212,0.788,453.7740027,74.19011447,4.252416623,1.41746341,30
3000000.1,280,0.308,0.692,543.2910658,52.71283259,1.940592909,0.597993483,30
3000000.1,280,0.404,0.596,608.5867504,37.08512803,4.102079392,0.377541504,30
3000000.1,280,0.5,0.5,651.6964323,26.95339516,8.462168322,1.158640439,30
3000000.1,280,0.596,0.404,687.2929096,18.84993834,7.760189953,1.040826309,30
3000000.1,280,0.692,0.308,714.0324799,12.89042701,6.516150623,0.409105413,30
3000000.1,280,0.788,0.212,732.7226559,8.26699859,6.585952623,0.426746549,30
3000000.1,280,0.884,0.116,750.2532542,4.14516901,5.304374197,0.19466371,30
3000000.1,280,0.98,0.02,765.5686257,0.661924808,2.536646052,0.045380763,30
3000000.1,300,0.02,0.98,43.71542997,135.0770852,0.638323532,0.82708954,30
3000000.1,300,0.116,0.884,218.0869685,103.4496708,2.985125669,1.525339068,30
3000000.1,300,0.212,0.788,347.1266879,77.7737779,3.791869378,0.823155342,30
3000000.1,300,0.308,0.692,438.2088579,58.40301221,4.126471033,0.892609664,30
